"BehaviorSpace results (NetLogo 6.0.3)"
"Project_structure.nlogo"
"Main experiment - just final result"
"11/14/2018 18:11:17:764 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","technology-increase","[step]","municipality-stats 0","municipality-stats 1","municipality-stats 2","municipality-stats 3","municipality-stats 4","municipality-stats 5","municipality-stats 6","municipality-stats 7","municipality-stats 8","municipality-stats 9"
"22","0.5","240","33422,-0.07,1,0.5,1,18,true,false,240","39069,-0.06,0.75,0.75,0.75,12,true,true,204","51342,-0.03,0.5,1,1,3,false,false,144","38725,-0.05,0.75,0.75,0.25,12,true,false,204","26964,-0.01,0.75,0.75,1,12,true,true,144","19762,-0.07,0.75,0.75,1,9,false,true,202","64503,-0.02,1,0.5,0.25,6,true,false,192","53749,-0.04,1,0.5,1,9,false,false,228","36648,-0.01,0.5,1,0.25,9,true,false,240","60061,-0.02,0.5,1,0.5,3,true,false,144"
"16","0.5","240","33931,-0.07,0.75,0.75,0.25,12,true,false,204","16138,0.01,0.75,0.75,0.75,6,true,false,169","28715,-0.04,0.5,1,0.25,6,false,true,192","42678,0.02,1,0.5,0.75,12,true,false,168","18495,-0.02,0.5,1,0.5,9,true,true,144","26725,-0.02,0.75,0.75,0.25,12,false,false,168","35149,-0.02,0.75,0.75,0.5,6,false,false,120","15821,-0.03,0.75,0.75,0.5,3,false,false,144","14060,-0.04,1,0.5,0.25,6,false,true,168","53151,-0.01,1,0.5,1,3,false,true,132"
"24","0.5","240","53401,0,0.75,0.75,0.5,18,true,true,180","14119,-0.09,0.5,1,0.25,3,true,false,192","50107,-0.05,0.5,1,1,6,false,false,192","38330,-0.01,0.5,1,0.75,12,true,true,204","23449,-0.02,1,0.5,0.75,9,false,true,144","36265,-0.05,1,0.5,0.75,9,true,true,168","39174,-0.07,0.5,1,1,9,false,false,228","50644,-0.02,0.75,0.75,1,9,false,true,152","21345,-0.04,0.5,1,0.25,6,false,true,228","24323,-0.03,0.75,0.75,0.75,18,true,false,204"
"26","0.5","240","52205,-0.02,0.75,0.75,0.25,9,false,false,240","25409,-0.2,0.5,1,0.25,18,true,false,216","42877,-0.08,1,0.5,0.25,15,false,false,228","56275,-0.05,0.75,0.75,0.75,18,false,false,144","30548,-0.07,0.5,1,0.75,15,true,true,240","35162,-0.07,0.5,1,0.75,15,true,true,240","42955,-0.1,0.5,1,1,15,true,true,240","51871,-0.08,0.75,0.75,0.75,15,false,false,144","45764,-0.03,0.5,1,0.25,3,false,false,240","58065,-0.05,1,0.5,0.5,15,true,false,228"
"27","0.5","240","53266,-0.05,0.5,1,1,12,false,true,192","32892,-0.01,1,0.5,0.5,15,true,true,156","45313,0,1,0.5,1,9,true,true,138","25719,0,1,0.5,0.75,15,true,true,132","20173,0,1,0.5,0.5,6,true,false,144","17484,-0.03,0.5,1,0.25,3,false,false,146","33328,-0.01,0.75,0.75,0.25,18,true,true,204","57078,0,0.75,0.75,0.75,15,false,false,156","41396,-0.02,0.5,1,1,12,false,true,132","26042,0.01,1,0.5,0.5,18,true,true,145"
"23","0.5","240","38235,-0.07,0.5,1,0.25,18,true,false,228","50545,-0.21,0.5,1,1,18,true,true,240","56237,-0.07,0.75,0.75,0.25,3,true,false,240","48655,-0.09,0.5,1,0.5,6,true,true,192","56913,-0.06,1,0.5,0.75,6,false,false,216","59480,-0.03,0.75,0.75,0.5,6,false,false,240","32594,-0.03,1,0.5,0.25,6,false,false,240","49155,-0.04,1,0.5,0.25,9,false,true,156","19434,-0.07,0.75,0.75,0.75,9,false,false,228","25551,-0.08,0.75,0.75,0.75,9,true,true,156"
"28","0.5","240","55695,-0.03,0.5,1,1,9,true,true,149","59108,-0.03,0.75,0.75,0.5,12,false,true,144","35083,-0.06,1,0.5,0.5,18,true,true,216","28504,-0.02,0.5,1,0.25,12,true,true,168","18598,-0.01,1,0.5,0.75,6,true,true,145","30572,-0.08,0.5,1,0.75,12,true,true,204","44104,-0.08,0.5,1,0.25,9,true,false,228","52495,-0.12,0.5,1,1,3,true,false,240","56812,-0.01,0.5,1,0.75,9,false,false,240","44509,-0.04,0.75,0.75,0.25,6,false,true,156"
"33","0.5","240","39869,-0.18,0.75,0.75,1,12,true,true,240","18135,-0.13,0.5,1,1,3,true,true,240","43955,-0.06,1,0.5,0.25,6,true,false,240","49016,-0.14,0.75,0.75,0.5,12,true,false,140","18559,-0.03,0.75,0.75,0.25,3,false,false,156","35094,-0.2,0.75,0.75,0.25,12,true,true,228","31491,-0.21,0.75,0.75,0.75,18,true,false,240","25605,-0.17,0.75,0.75,1,6,true,true,228","27065,-0.12,1,0.5,0.5,12,false,true,240","47728,-0.02,0.5,1,0.25,6,true,true,240"
"32","0.5","240","33629,-0.04,0.5,1,0.5,3,false,true,156","32271,-0.13,0.75,0.75,0.75,9,false,false,240","31713,-0.03,1,0.5,0.25,12,false,true,156","41957,-0.03,0.5,1,0.75,12,false,true,156","27635,-0.14,0.75,0.75,0.25,12,true,true,240","18568,-0.03,0.75,0.75,0.25,18,false,false,144","58098,-0.11,1,0.5,1,18,false,false,240","35625,-0.02,1,0.5,0.25,9,false,true,240","27821,-0.03,0.75,0.75,0.75,3,false,true,144","16785,-0.08,0.75,0.75,0.5,3,false,true,240"
"29","0.5","240","44249,-0.15,1,0.5,0.5,3,true,false,240","44823,-0.02,0.5,1,0.5,15,true,true,156","19693,-0.17,0.75,0.75,0.75,9,true,false,228","27193,-0.03,0.75,0.75,0.25,6,false,false,204","40455,-0.14,1,0.5,1,15,false,false,240","25475,-0.18,0.5,1,1,18,true,true,240","26932,-0.15,0.5,1,0.5,6,false,false,240","58039,-0.12,1,0.5,0.75,15,false,true,196","27553,-0.18,0.5,1,1,3,true,false,240","27874,-0.01,0.75,0.75,0.25,12,true,true,240"
