"technology.increase","kpi_expenditure","kpi_final_gap","kpi_failure_count","behavior_importance_tendency","behavior_knowledge_tendency","behavior_target_tendency","behavior_price_tendency","behavior_sq_investment","behavior_centralized"
"2",49137,0.05,36,"0.75","0.75","0.5","15",FALSE,FALSE
"2",36628,0.05,36,"0.5","1","0.75","9",FALSE,FALSE
"2",53527,0.05,72,"1","0.5","0.75","6",FALSE,TRUE
"2",37628,0.06,108,"1","0.5","1","3",FALSE,TRUE
"2",23553,0.06,60,"0.75","0.75","0.75","18",FALSE,FALSE
"2",25954,0.04,72,"1","0.5","0.25","9",FALSE,TRUE
"2",50942,0.06,96,"0.75","0.75","0.5","18",TRUE,TRUE
"2",13375,0.06,108,"1","0.5","1","3",FALSE,TRUE
"2",31327,0.04,91,"1","0.5","0.5","3",FALSE,TRUE
"2",40304,0.05,12,"0.5","1","0.25","6",TRUE,FALSE
"2",26634,0.05,24,"0.5","1","1","9",TRUE,TRUE
"2",38967,0.06,84,"1","0.5","0.75","12",FALSE,FALSE
"2",50558,0.05,36,"0.5","1","0.75","12",FALSE,FALSE
"2",24981,0.05,132,"0.75","0.75","0.25","3",TRUE,TRUE
"2",58449,0.07,67,"0.75","0.75","1","18",TRUE,FALSE
"2",19899,0.06,132,"1","0.5","0.25","3",TRUE,FALSE
"2",41929,0.04,36,"0.75","0.75","0.75","18",FALSE,TRUE
"2",28556,0.08,109,"1","0.5","1","3",TRUE,FALSE
"2",34970,0.06,72,"1","0.5","0.25","15",TRUE,TRUE
"2",53567,0.05,60,"0.5","1","0.75","3",FALSE,TRUE
"2",30948,0.04,72,"0.75","0.75","0.25","6",FALSE,TRUE
"2",39328,0.04,108,"0.5","1","0.25","6",FALSE,TRUE
"0.5",52037,-0.02,144,"1","0.5","0.25","3",TRUE,TRUE
"0.5",18582,-0.09,240,"1","0.5","0.25","9",FALSE,FALSE
"0.5",21465,-0.01,234,"1","0.5","0.25","6",TRUE,FALSE
"0.5",52574,-0.15,240,"0.5","1","0.5","3",FALSE,FALSE
"0.5",25564,-0.03,156,"0.5","1","0.5","18",FALSE,TRUE
"0.5",37939,-0.22,240,"0.75","0.75","0.75","6",TRUE,FALSE
"0.5",38342,-0.04,192,"0.75","0.75","0.25","3",FALSE,TRUE
"0.5",29932,-0.09,240,"1","0.5","1","9",FALSE,FALSE
"0.5",38038,-0.08,156,"0.5","1","0.75","18",FALSE,FALSE
"0.5",26095,-0.18,240,"0.5","1","0.75","6",TRUE,FALSE
"0.5",44839,-0.19,240,"0.5","1","0.5","12",TRUE,TRUE
"0.5",48944,-0.06,222,"1","0.5","0.75","12",TRUE,TRUE
"0.5",56191,-0.04,168,"0.75","0.75","0.25","6",FALSE,TRUE
"0.5",38957,-0.14,240,"0.5","1","0.5","3",TRUE,TRUE
"0.5",18767,-0.13,240,"0.5","1","0.75","9",TRUE,TRUE
"0.5",21245,-0.13,240,"0.75","0.75","0.75","12",TRUE,FALSE
"0.5",26126,-0.14,240,"0.75","0.75","0.25","6",TRUE,FALSE
"0.5",55067,-0.02,189,"1","0.5","0.25","18",FALSE,FALSE
"0.5",54631,-0.08,240,"0.75","0.75","0.5","18",FALSE,TRUE
"0.5",32946,-0.09,240,"0.75","0.75","0.5","6",FALSE,FALSE
"0.5",33958,-0.06,208,"0.75","0.75","1","18",FALSE,TRUE
"0.5",31012,-0.01,240,"1","0.5","0.25","18",FALSE,TRUE
"0.5",63914,-0.05,192,"1","0.5","1","9",FALSE,TRUE
"0.5",21009,-0.11,240,"0.75","0.75","1","18",FALSE,TRUE
"0.5",27515,-0.01,132,"0.75","0.75","0.75","6",TRUE,FALSE
"0.5",34283,-0.04,209,"1","0.5","1","18",TRUE,TRUE
"0.5",36975,-0.02,156,"0.75","0.75","0.5","15",FALSE,TRUE
"0.5",40964,-0.08,240,"0.5","1","0.75","3",FALSE,TRUE
"0.5",53065,-0.01,240,"0.75","0.75","0.25","12",FALSE,FALSE
"0.5",30317,-0.11,240,"0.75","0.75","0.5","12",TRUE,FALSE
"0.5",46933,-0.07,228,"0.75","0.75","0.75","3",FALSE,TRUE
"0.5",49084,-0.08,240,"1","0.5","0.25","6",TRUE,FALSE
"0.5",34690,-0.09,240,"0.5","1","0.75","6",FALSE,FALSE
"0.5",32379,-0.11,240,"0.75","0.75","0.5","15",TRUE,FALSE
"0.5",45601,-0.08,240,"0.75","0.75","0.5","18",FALSE,FALSE
"0.5",21779,-0.02,240,"1","0.5","0.25","3",TRUE,TRUE
"0.5",34068,-0.03,192,"0.75","0.75","0.25","6",FALSE,FALSE
"0.5",20936,-0.17,240,"0.75","0.75","0.75","6",TRUE,TRUE
"0.5",17140,-0.05,156,"1","0.5","0.75","18",TRUE,TRUE
"0.5",41476,-0.1,228,"0.5","1","0.25","18",FALSE,TRUE
"0.5",51214,-0.18,240,"0.75","0.75","0.5","12",TRUE,FALSE
"0.5",55172,-0.02,228,"0.75","0.75","0.25","18",FALSE,TRUE
"0.5",41389,-0.11,240,"1","0.5","0.75","18",TRUE,TRUE
"0.5",48261,-0.11,240,"0.75","0.75","0.25","12",FALSE,TRUE
"0.5",41628,-0.17,240,"1","0.5","0.75","12",FALSE,TRUE
"0.5",47048,-0.01,228,"0.75","0.75","0.25","3",TRUE,FALSE
"0.5",42267,-0.02,240,"0.75","0.75","0.5","15",FALSE,TRUE
"0.5",28049,-0.2,240,"0.5","1","0.75","15",FALSE,FALSE
"0.5",23769,-0.18,240,"1","0.5","1","18",FALSE,FALSE
"0.5",25543,-0.07,240,"0.5","1","1","15",FALSE,TRUE
"0.5",21552,-0.24,240,"0.75","0.75","1","18",FALSE,TRUE
"0.5",32108,-0.16,129,"1","0.5","1","6",TRUE,FALSE
"0.5",28203,-0.11,240,"1","0.5","0.75","3",TRUE,TRUE
"0.5",17022,-0.03,204,"0.75","0.75","0.25","18",FALSE,TRUE
"0.5",27929,-0.01,240,"0.5","1","0.25","3",TRUE,FALSE
"0.5",22106,-0.23,240,"0.75","0.75","0.25","6",FALSE,FALSE
"0.5",28565,-0.07,192,"0.75","0.75","0.75","12",FALSE,FALSE
"0.5",28626,-0.14,240,"0.75","0.75","1","18",TRUE,FALSE
"0.5",51224,-0.12,240,"1","0.5","0.5","18",TRUE,TRUE
"0.5",50801,-0.06,216,"1","0.5","0.5","18",TRUE,TRUE
"0.5",30625,-0.02,144,"1","0.5","0.75","6",FALSE,FALSE
"0.5",61833,-0.1,240,"0.5","1","0.25","15",TRUE,FALSE
"0.5",34444,-0.08,240,"0.75","0.75","1","18",TRUE,FALSE
"0.5",59932,-0.09,240,"0.5","1","0.25","3",TRUE,FALSE
"0.5",21842,-0.14,240,"0.5","1","0.5","18",TRUE,TRUE
"0.5",61142,-0.03,144,"0.75","0.75","0.5","9",FALSE,TRUE
"0.5",41412,-0.14,240,"0.5","1","1","3",FALSE,FALSE
"0.5",59468,-0.03,192,"0.75","0.75","0.25","18",FALSE,TRUE
"0.5",44734,-0.03,156,"1","0.5","0.5","9",FALSE,TRUE
"0.5",26312,-0.2,228,"0.5","1","1","3",TRUE,FALSE
"0.5",21032,-0.13,240,"0.75","0.75","0.75","18",FALSE,FALSE
"0.5",31205,-0.07,240,"0.5","1","0.75","15",TRUE,TRUE
"0.5",50934,-0.13,240,"0.5","1","0.75","12",TRUE,FALSE
